"","employee_id","company_id","dept","seniority","salary","join_date","quit_date"
"139",890774,9,"data_science",5,179000,"2014-03-10",NA
"140",315388,3,"engineer",21,274000,"2013-12-30",NA
"141",169449,6,"customer_service",13,73000,"2014-06-09",NA
"142",11820,5,"design",21,158000,"2012-02-13","2015-10-09"
"143",96220,1,"data_science",25,319000,"2012-11-07","2015-11-04"
"144",368885,1,"customer_service",16,118000,"2011-08-29","2014-04-25"
"145",66309,6,"customer_service",13,64000,"2013-07-17","2014-08-08"
"146",535005,4,"sales",9,96000,"2015-10-05",NA
"147",705974,3,"sales",10,98000,"2012-07-11","2015-03-27"
"148",798925,10,"customer_service",13,71000,"2015-05-18",NA
"149",319360,7,"data_science",1,64000,"2011-03-22","2012-04-13"
"150",423294,3,"customer_service",8,61000,"2012-01-17","2013-11-08"
"151",518099,1,"engineer",10,201000,"2011-11-28","2015-04-10"
"152",878745,2,"data_science",16,308000,"2014-05-05",NA
"153",21574,4,"customer_service",2,27000,"2011-01-24","2012-02-17"
"154",280348,1,"data_science",12,242000,"2012-01-03","2012-11-30"
"155",37403,5,"customer_service",23,98000,"2011-10-17","2012-10-26"
"156",7557,2,"sales",7,137000,"2011-02-14","2012-02-10"
"157",357361,1,"sales",24,176000,"2012-07-19","2013-06-14"
"158",856058,10,"marketing",16,184000,"2015-01-21",NA
"159",130736,1,"sales",12,127000,"2012-11-12","2013-12-20"
"160",512086,3,"sales",12,103000,"2012-10-08","2014-10-24"
"161",957379,1,"customer_service",18,111000,"2015-02-23",NA
"162",632861,1,"customer_service",15,113000,"2012-11-12",NA
"163",831946,4,"sales",13,88000,"2011-08-08","2012-08-17"
"164",753949,2,"customer_service",22,128000,"2015-11-30",NA
"165",513369,6,"data_science",21,213000,"2013-09-23","2014-09-26"
"166",37349,3,"customer_service",24,107000,"2013-04-15","2014-05-23"
"167",330923,1,"customer_service",25,131000,"2014-02-24",NA
"168",747178,6,"marketing",16,191000,"2011-09-19","2015-09-11"
"169",933558,2,"engineer",29,317000,"2012-05-14","2015-10-30"
"170",573147,9,"customer_service",23,76000,"2015-03-09",NA
"171",469641,2,"engineer",14,220000,"2015-05-18",NA
"172",511955,1,"customer_service",23,119000,"2011-04-04","2015-09-18"
"173",337628,1,"customer_service",22,137000,"2013-11-04","2014-12-19"
"174",438492,4,"engineer",8,150000,"2014-12-22",NA
"175",42459,6,"customer_service",27,95000,"2012-10-01","2013-11-08"
"176",520199,2,"data_science",2,87000,"2011-08-22","2013-05-17"
"177",183452,1,"marketing",3,51000,"2014-03-31",NA
"178",345027,5,"customer_service",1,26000,"2013-12-16","2014-10-17"
"179",823460,2,"customer_service",8,93000,"2015-05-18",NA
"180",826151,1,"engineer",14,187000,"2015-02-02",NA
"181",722528,1,"customer_service",3,30000,"2015-04-20",NA
"182",966441,3,"sales",2,44000,"2012-07-02","2013-06-21"
"183",565100,7,"engineer",5,155000,"2015-11-10",NA
"184",57435,1,"data_science",19,287000,"2011-04-05","2012-06-13"
"185",379266,10,"customer_service",18,90000,"2011-09-12","2012-09-14"
"186",709392,1,"data_science",28,326000,"2012-08-20","2015-07-10"
"187",933798,1,"marketing",27,2e+05,"2012-12-31","2015-01-12"
"188",294709,1,"sales",1,56000,"2014-03-31","2015-02-06"
"189",760218,4,"marketing",11,124000,"2015-09-21",NA
"190",127607,2,"engineer",7,209000,"2011-06-20","2014-11-07"
"191",990429,1,"engineer",1,77000,"2011-11-15","2014-07-25"
"192",214965,5,"design",6,94000,"2011-09-26","2015-06-04"
"193",168979,4,"sales",19,166000,"2014-03-03","2015-03-20"
"194",227144,2,"customer_service",20,125000,"2011-08-08","2012-06-22"
"195",46845,2,"sales",1,45000,"2015-10-26",NA
"196",72538,8,"engineer",27,274000,"2013-03-11",NA
"197",377002,1,"engineer",15,304000,"2014-05-19",NA
"198",279201,7,"data_science",16,219000,"2012-11-19","2015-01-12"
"199",839686,8,"customer_service",29,98000,"2014-09-08","2015-07-31"
"200",278601,3,"customer_service",6,62000,"2011-04-21","2014-08-29"
"201",267930,3,"data_science",17,281000,"2011-01-26","2012-01-27"
"202",701397,1,"customer_service",1,26000,"2012-04-23",NA
"203",762509,1,"customer_service",10,70000,"2013-09-09","2014-08-08"
"204",987465,9,"engineer",9,162000,"2011-03-21","2014-02-28"
"205",364854,1,"data_science",21,319000,"2015-12-07",NA
"206",369519,1,"marketing",23,236000,"2011-12-27","2015-01-02"
"207",965576,6,"data_science",20,273000,"2013-11-18",NA
"208",55818,1,"marketing",26,189000,"2013-06-24","2015-07-10"
"209",240363,6,"data_science",6,167000,"2011-10-31","2012-11-09"
"210",142885,1,"customer_service",17,119000,"2015-05-26",NA
"211",43322,8,"customer_service",26,105000,"2015-06-08",NA
"212",807289,1,"data_science",16,319000,"2011-03-14","2012-01-27"
"213",48387,9,"customer_service",10,51000,"2014-04-08",NA
"214",735300,1,"data_science",19,343000,"2013-06-24",NA
"215",84039,2,"customer_service",11,77000,"2011-09-26","2013-05-24"
"216",284117,1,"customer_service",5,81000,"2013-06-24","2014-05-30"
"217",845186,4,"engineer",11,185000,"2011-11-07","2012-12-28"
"218",687060,2,"sales",25,202000,"2013-09-09","2014-10-09"
"219",268518,7,"data_science",26,221000,"2014-07-21","2015-09-04"
"220",255166,1,"customer_service",7,73000,"2011-06-13","2014-03-21"
"221",626015,6,"design",29,167000,"2015-10-05",NA
"222",998140,1,"customer_service",20,126000,"2011-10-10","2013-01-18"
"223",40297,3,"marketing",4,42000,"2012-02-21","2015-09-04"
"224",663378,2,"engineer",13,199000,"2011-03-21","2014-08-01"
"225",603597,1,"engineer",26,277000,"2012-06-25",NA
"226",772399,5,"marketing",4,34000,"2013-12-16",NA
"227",549063,4,"engineer",12,163000,"2011-08-24","2014-08-22"
"228",814519,1,"customer_service",13,76000,"2011-06-13","2015-01-30"
"229",677548,5,"data_science",23,218000,"2013-10-01","2014-11-28"
"230",292886,2,"data_science",2,71000,"2013-07-08",NA
"231",88192,1,"customer_service",17,113000,"2013-11-18",NA
"232",310716,3,"engineer",16,239000,"2015-11-30",NA
"233",492306,2,"customer_service",23,125000,"2014-12-22",NA
"234",727419,7,"marketing",9,119000,"2012-08-27","2014-04-21"
"235",694006,4,"customer_service",22,97000,"2014-03-24",NA
"236",589003,2,"customer_service",22,134000,"2015-10-26",NA
"237",100485,3,"marketing",13,83000,"2012-03-05","2014-02-14"
"238",616385,3,"sales",22,160000,"2015-01-07",NA
"239",478322,2,"customer_service",19,121000,"2015-10-12",NA
"240",312366,9,"customer_service",1,24000,"2012-04-23","2014-04-25"
"241",921656,9,"marketing",14,117000,"2013-05-13",NA
"242",570564,1,"customer_service",17,110000,"2013-04-15","2015-06-12"
"243",806748,4,"customer_service",17,91000,"2015-04-20",NA
"244",404492,8,"engineer",13,191000,"2014-01-06",NA
"245",931750,7,"marketing",16,202000,"2014-02-24","2015-02-13"
"246",383204,2,"sales",19,201000,"2013-12-09","2014-11-28"
"247",357555,9,"sales",28,178000,"2015-01-26",NA
"248",54806,4,"customer_service",18,90000,"2012-04-23","2013-04-05"
"249",425545,11,"engineer",26,203000,"2013-09-12","2014-07-18"
"250",360494,1,"sales",5,157000,"2012-06-07","2013-06-28"
"251",953784,2,"customer_service",17,117000,"2014-06-23",NA
"252",66079,5,"engineer",10,159000,"2013-04-15","2014-05-02"
"253",496386,4,"customer_service",9,73000,"2013-09-09","2014-09-26"
"254",422942,9,"customer_service",12,64000,"2015-09-14",NA
"255",947071,1,"sales",3,54000,"2013-11-26",NA
"256",435919,1,"marketing",11,126000,"2012-09-17",NA
"257",472690,3,"engineer",8,159000,"2013-11-18","2015-01-23"
"258",404476,1,"design",29,156000,"2015-11-25",NA
"259",413486,1,"customer_service",18,126000,"2013-04-15","2014-05-23"
"260",381998,6,"sales",19,167000,"2011-10-10","2012-09-28"
"261",236704,2,"customer_service",28,117000,"2011-03-28","2012-02-24"
"262",24132,4,"marketing",5,114000,"2013-07-18","2014-07-08"
"263",828900,5,"design",18,136000,"2013-06-03","2014-06-20"
"264",707536,4,"engineer",8,174000,"2013-07-01","2014-06-13"
"265",972591,1,"customer_service",24,141000,"2011-08-29","2013-04-26"
"266",774429,1,"design",23,172000,"2012-10-15","2013-09-19"
"267",596215,4,"customer_service",7,61000,"2015-02-09",NA
"268",124892,6,"customer_service",8,72000,"2013-07-15","2015-07-17"
"269",515467,4,"marketing",19,172000,"2012-09-19","2014-09-26"
"270",437146,5,"marketing",13,84000,"2014-02-18",NA
"271",83418,1,"engineer",6,147000,"2013-06-10","2014-07-11"
"272",414164,1,"engineer",11,213000,"2015-08-10",NA
"273",911280,1,"customer_service",12,81000,"2014-10-06",NA
"274",766599,1,"customer_service",26,128000,"2014-12-30",NA
"275",704356,1,"sales",28,198000,"2014-09-02",NA
"276",109310,3,"sales",20,190000,"2013-02-04","2013-12-13"
"277",30556,1,"engineer",4,90000,"2013-09-16",NA
"278",504345,8,"data_science",19,246000,"2013-09-16","2014-09-05"
"279",632607,3,"marketing",17,177000,"2011-12-19","2013-02-01"
"280",436116,2,"marketing",10,109000,"2011-08-08","2015-10-22"
"281",903975,3,"marketing",28,167000,"2013-09-30","2015-10-16"
"282",875512,1,"sales",20,198000,"2012-03-14","2013-04-19"
"283",186535,2,"customer_service",14,69000,"2011-08-29","2012-08-24"
"284",307309,3,"customer_service",7,73000,"2013-04-15","2014-12-19"
"285",958097,8,"sales",17,152000,"2012-03-12","2014-02-28"
"286",711318,3,"sales",8,97000,"2015-03-09",NA
"287",116644,1,"engineer",26,304000,"2015-11-05",NA
"288",970302,1,"customer_service",22,1e+05,"2013-04-08",NA
"289",166681,9,"customer_service",1,20000,"2011-05-02","2012-05-16"
"290",409657,3,"engineer",3,67000,"2013-10-14","2014-10-10"
"291",89281,3,"customer_service",21,93000,"2015-05-04",NA
"292",627990,3,"sales",15,162000,"2012-04-02","2013-03-01"
"293",642574,1,"engineer",9,151000,"2012-12-10","2014-01-10"
"294",495964,9,"marketing",5,109000,"2015-12-07",NA
"295",407517,3,"engineer",21,271000,"2015-08-31",NA
"296",766721,1,"data_science",12,196000,"2013-02-12",NA
"297",162862,9,"customer_service",10,64000,"2014-12-01",NA
"298",460645,3,"data_science",5,160000,"2011-03-28","2012-03-30"
"299",507400,2,"customer_service",9,86000,"2013-04-29","2014-05-02"
"300",10982,5,"engineer",27,184000,"2011-06-20","2013-11-01"
"301",596247,5,"customer_service",19,87000,"2012-09-17","2013-09-27"
"302",140437,10,"data_science",20,229000,"2014-03-03","2015-01-02"
"303",420376,5,"sales",4,30000,"2014-10-08",NA
"304",590941,6,"marketing",20,167000,"2015-12-07",NA
"305",293616,1,"customer_service",2,32000,"2014-05-05",NA
"306",875515,1,"customer_service",14,79000,"2014-03-10",NA
"307",814185,1,"customer_service",2,32000,"2015-06-22",NA
"308",766860,5,"design",4,43000,"2014-06-04","2015-06-26"
"309",389222,2,"engineer",9,193000,"2013-02-19","2013-12-06"
"310",474539,6,"customer_service",9,63000,"2015-11-30",NA
"311",573912,1,"data_science",25,306000,"2012-03-19","2013-06-06"
"312",120318,8,"sales",15,145000,"2014-04-07",NA
"313",123510,10,"customer_service",18,92000,"2013-03-25","2015-03-20"
"314",627791,4,"sales",3,44000,"2015-08-10",NA
"315",581583,1,"marketing",8,136000,"2011-04-11","2013-04-26"
"316",888728,3,"sales",26,128000,"2013-03-19","2014-03-21"
"317",51652,3,"engineer",24,264000,"2015-10-13",NA
"318",80071,3,"customer_service",17,107000,"2011-05-23","2014-01-31"
"319",762544,2,"customer_service",13,72000,"2015-06-01",NA
"320",189073,2,"sales",9,120000,"2014-07-21",NA
"321",447645,1,"engineer",23,310000,"2011-05-17","2012-05-18"
"322",447381,1,"design",4,41000,"2011-05-18","2014-05-09"
"323",955563,4,"customer_service",28,92000,"2013-12-02",NA
"324",696084,1,"customer_service",16,135000,"2012-12-18","2014-12-26"
"325",168299,6,"data_science",17,292000,"2014-05-27",NA
"326",850813,10,"customer_service",8,67000,"2012-03-01","2014-01-17"
"327",100016,6,"marketing",11,108000,"2014-08-18","2015-08-21"
"328",831056,1,"customer_service",18,119000,"2013-06-10","2014-08-01"
"329",582624,4,"data_science",6,168000,"2012-08-27",NA
"330",43050,2,"marketing",13,148000,"2015-11-11",NA
"331",630183,3,"sales",9,97000,"2011-05-02","2015-02-06"
"332",278501,10,"sales",23,150000,"2013-05-07",NA
"333",390697,1,"design",19,220000,"2012-03-05","2013-06-14"
"334",474976,2,"marketing",2,40000,"2015-08-10",NA
"335",229229,2,"customer_service",15,126000,"2012-01-17","2013-01-18"
"336",169746,7,"sales",27,152000,"2015-11-25",NA
"337",502939,6,"data_science",24,226000,"2014-05-05",NA
"338",895393,2,"sales",3,49000,"2011-05-09","2015-05-29"
"339",518354,1,"customer_service",18,133000,"2015-08-31",NA
"340",332293,9,"data_science",19,243000,"2014-05-05",NA
"341",32378,8,"customer_service",17,88000,"2015-04-13",NA
"342",460922,4,"customer_service",29,82000,"2012-10-08",NA
"343",6e+05,2,"customer_service",19,119000,"2014-12-22","2015-10-09"
"344",657266,3,"customer_service",1,24000,"2013-05-13",NA
"345",909192,1,"customer_service",5,78000,"2013-08-12",NA
"346",332489,1,"design",15,212000,"2012-10-10","2015-02-20"
"347",895898,4,"customer_service",10,56000,"2011-04-04","2012-04-20"
"348",925648,9,"marketing",15,130000,"2014-12-10",NA
"349",825963,2,"customer_service",26,133000,"2014-08-25",NA
"350",103004,3,"engineer",5,185000,"2013-12-05","2014-12-05"
"351",633599,1,"customer_service",16,104000,"2013-06-17","2015-02-13"
"352",530174,1,"marketing",13,140000,"2013-08-26",NA
"353",163751,4,"customer_service",5,54000,"2013-12-02","2014-11-14"
"354",719930,1,"customer_service",7,75000,"2011-10-17","2014-09-26"
"355",718199,8,"customer_service",1,21000,"2015-10-05",NA
"356",898252,2,"marketing",10,122000,"2015-07-06",NA
"357",168953,1,"customer_service",17,109000,"2015-07-02",NA
"358",646910,7,"customer_service",19,96000,"2012-07-23","2013-10-11"
"359",145115,3,"customer_service",15,89000,"2011-03-28","2015-04-24"
"360",426072,7,"marketing",14,113000,"2014-12-08",NA
"361",260811,1,"customer_service",10,91000,"2012-10-29","2013-10-11"
"362",787251,1,"data_science",3,74000,"2014-09-22","2015-11-20"
"363",66204,3,"customer_service",15,71000,"2014-02-03",NA
"364",23115,1,"customer_service",8,74000,"2015-10-26",NA
"365",647125,1,"design",8,127000,"2015-03-16",NA
"366",115377,5,"marketing",10,101000,"2012-07-09","2014-03-28"
"367",998416,2,"data_science",17,322000,"2012-02-29",NA
"368",601118,2,"data_science",18,304000,"2014-08-25",NA
"369",640268,1,"customer_service",20,126000,"2015-10-19",NA
"370",846348,1,"sales",16,233000,"2015-07-13",NA
"371",337015,5,"engineer",29,217000,"2013-03-18","2015-01-02"
"372",239278,3,"engineer",1,54000,"2012-12-10",NA
"373",992868,9,"data_science",11,191000,"2015-06-01",NA
"374",488402,1,"marketing",14,141000,"2014-11-24",NA
"375",48309,7,"sales",17,153000,"2015-06-29",NA
"376",722302,2,"engineer",9,170000,"2013-05-28","2014-06-13"
"377",207178,1,"customer_service",12,78000,"2013-05-06","2015-07-31"
"378",551037,9,"customer_service",20,101000,"2014-04-07","2015-04-17"
"379",985830,10,"customer_service",25,98000,"2013-07-10","2014-06-20"
"380",497784,2,"marketing",3,51000,"2014-09-15",NA
"381",596735,3,"sales",4,45000,"2012-12-31","2014-02-28"
"382",378181,1,"marketing",4,59000,"2015-05-26",NA
"383",371708,1,"engineer",19,304000,"2015-05-13",NA
"384",784707,5,"engineer",14,173000,"2013-02-25","2014-03-14"
"385",698606,3,"customer_service",15,102000,"2015-08-10",NA
"386",43282,4,"customer_service",4,28000,"2015-06-22",NA
"387",285498,9,"engineer",1,65000,"2012-12-03","2013-11-22"
"388",790607,1,"data_science",15,297000,"2015-08-10",NA
"389",319080,5,"marketing",8,115000,"2011-03-22","2012-05-25"
"390",952116,11,"engineer",18,177000,"2013-02-05","2014-02-21"
"391",804295,1,"engineer",2,70000,"2011-03-29","2015-05-08"
"392",417556,2,"customer_service",18,128000,"2011-10-19","2013-10-25"
"393",879854,5,"customer_service",25,91000,"2011-08-01","2013-04-12"
"394",330596,2,"data_science",17,254000,"2011-12-19",NA
"395",390493,1,"design",23,141000,"2015-05-04",NA
"396",431752,2,"marketing",29,205000,"2014-08-27",NA
"397",199880,5,"customer_service",15,101000,"2012-02-21","2015-09-25"
"398",974282,1,"design",16,226000,"2013-04-15",NA
"399",985535,2,"data_science",2,82000,"2012-11-19","2015-03-06"
"400",282163,1,"customer_service",9,83000,"2015-07-14",NA
"401",712062,3,"marketing",26,147000,"2014-04-21","2015-03-20"
"402",978617,3,"customer_service",9,70000,"2012-01-30","2013-04-01"
"403",226529,1,"customer_service",19,92000,"2011-07-11","2012-08-03"
"404",211638,1,"engineer",16,271000,"2013-12-16","2014-12-26"
"405",836062,10,"design",16,169000,"2013-09-23","2014-10-31"
"406",235535,1,"sales",8,131000,"2015-04-13",NA
"407",635247,1,"customer_service",6,84000,"2015-01-12",NA
"408",246896,4,"marketing",4,46000,"2013-07-22",NA
"409",275916,8,"marketing",8,106000,"2012-06-04","2015-05-29"
"410",517539,2,"customer_service",17,111000,"2015-08-24",NA
"411",463050,9,"sales",26,165000,"2015-09-08",NA
"412",436611,1,"sales",20,198000,"2015-03-31",NA
"413",224745,1,"customer_service",19,108000,"2011-01-24","2012-02-24"
"414",171378,1,"engineer",2,79000,"2014-06-02",NA
"415",537626,1,"marketing",29,196000,"2013-12-23",NA
"416",124512,1,"customer_service",11,94000,"2011-05-11","2013-06-14"
"417",951303,4,"data_science",11,148000,"2014-07-08","2015-08-14"
"418",528189,2,"design",13,132000,"2014-07-07",NA
"419",864168,3,"engineer",20,242000,"2015-01-12",NA
"420",392126,1,"engineer",9,2e+05,"2015-08-17",NA
"421",771367,9,"data_science",4,66000,"2014-08-11","2015-07-07"
"422",876757,1,"customer_service",6,82000,"2015-04-27",NA
"423",561043,3,"customer_service",18,119000,"2012-07-02","2014-03-28"
"424",553673,6,"engineer",18,210000,"2015-02-23",NA
"425",219934,10,"engineer",26,273000,"2013-03-14","2014-05-02"
"426",549709,2,"customer_service",28,131000,"2014-11-24","2015-08-07"
"427",461699,5,"customer_service",8,69000,"2011-04-11","2012-03-02"
"428",786074,1,"customer_service",10,77000,"2012-08-29",NA
"429",759537,1,"customer_service",7,78000,"2015-11-09",NA
"430",791580,8,"marketing",29,142000,"2011-09-07","2012-09-07"
"431",643910,9,"customer_service",20,111000,"2015-08-03",NA
"432",996641,2,"customer_service",22,107000,"2015-05-19",NA
"433",489162,1,"customer_service",10,64000,"2014-06-23","2015-07-24"
"434",850929,4,"customer_service",15,95000,"2012-02-01","2013-01-18"
"435",896418,2,"sales",19,193000,"2012-04-30","2015-02-13"
"436",81245,1,"engineer",27,242000,"2013-07-08","2014-07-25"
